epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,7369.65,0.57269,0.42438,1.19096,0.92916,0.9202,0.96513,0.83379,0.65874,0.43148,1.31835,0.0047035,0.0047035,0.0047035
109,7437.98,0.56547,0.42036,1.18634,0.93633,0.91865,0.96293,0.83002,0.65052,0.42702,1.30273,0.004654,0.004654,0.004654
110,7506.08,0.56537,0.41963,1.18106,0.93675,0.91017,0.96492,0.83599,0.647,0.42258,1.29675,0.0046045,0.0046045,0.0046045
111,7574.36,0.56271,0.41699,1.18839,0.94286,0.91119,0.96032,0.829,0.65464,0.43084,1.30547,0.004555,0.004555,0.004555
112,7641.23,0.5639,0.41644,1.18499,0.93284,0.90309,0.9606,0.8292,0.65631,0.42934,1.30813,0.0045055,0.0045055,0.0045055
113,7709.27,0.56003,0.4107,1.18023,0.93881,0.90171,0.96013,0.82984,0.64681,0.43486,1.29935,0.004456,0.004456,0.004456
114,7777.61,0.5618,0.41038,1.18124,0.93011,0.9027,0.96268,0.83616,0.64498,0.45586,1.29899,0.0044065,0.0044065,0.0044065
115,7845.57,0.56221,0.41406,1.18336,0.94872,0.89248,0.96033,0.8327,0.64714,0.44206,1.29731,0.004357,0.004357,0.004357
116,7914,0.55223,0.40596,1.17631,0.92045,0.92355,0.96164,0.83144,0.65189,0.44242,1.31202,0.0043075,0.0043075,0.0043075
117,7981.9,0.54765,0.40425,1.16999,0.92608,0.91791,0.96079,0.83311,0.6467,0.43512,1.3035,0.004258,0.004258,0.004258
118,8050.07,0.54577,0.39851,1.17134,0.92813,0.9158,0.96251,0.83266,0.64661,0.42652,1.30546,0.0042085,0.0042085,0.0042085
119,8118,0.55192,0.4063,1.17556,0.92119,0.92552,0.96093,0.83184,0.64825,0.42537,1.30702,0.004159,0.004159,0.004159
120,8185.99,0.54754,0.40164,1.16805,0.9355,0.91767,0.9607,0.83795,0.64393,0.44356,1.30015,0.0041095,0.0041095,0.0041095
121,8254.13,0.54166,0.39188,1.16478,0.92378,0.92552,0.96286,0.83478,0.64018,0.42927,1.299,0.00406,0.00406,0.00406
122,8322.03,0.54137,0.39859,1.16787,0.93126,0.91433,0.96194,0.83662,0.63749,0.4234,1.2933,0.0040105,0.0040105,0.0040105
